No,Name,Color,Type,Cost,Atk,Hit,Thema,Thema2,Ip,Trigger,Text,Text2
BT04-042,용의 반려 셰나,폭풍,리더,-,-,-,대양의 정복자,,에픽세븐,,기본면 \n [서약] 자신의 덱에 [폭풍] 카드만 넣을 수 있다. \n [각성] 자신의 리더 레벨이 5 이상이라면 이 카드를 뒤집는다.,각성면 \n [액티브: 메인] 필드에 있는 자신 유닛을 1장 골라 트래시한다. 그러면 필드에 있는 자신 유닛을 1장 골라; 이 턴이 끝날 때까지 파워+2000.
BT03-001,라피 : 레드 후드,화염,리더,-,-,-,엘리시온,,승리의 여신: 니케,,기본면 \n [서약] 자신의 덱에 [화염] 카드만 넣을 수 있다. \n [각성] 자신의 리더 레벨이 5 이상이라면 이 카드를 뒤집는다.,각성면 \n [액티브: 메인] 자신의 스킬 존에 있는 스킬이 1장 이상이라면 필드에 있는 상대 유닛을 1장 골라; 이 턴이 끝날 때까지 파워-2000.
BT03-018,나가-라스트 걸후드,대지,리더,-,-,-,미실리스,,승리의 여신: 니케,,기본면 \n [서약] 자신의 덱에 [대지] 카드만 넣을 수 있다. \n [각성] 자신의 리더 레벨이 5 이상이라면 이 카드를 뒤집는다.,각성면 \n [전선구축] 자신의 모든 유닛 존에 유닛이 존재한다면 모든 자신 유닛의 파워+1000.
BT03-035,리틀 머메이드-어비스 플라워,폭풍,리더,-,-,-,필그림,,승리의 여신: 니케,,기본면 \n [서약] 자신의 덱에 [폭풍] 카드만 넣을 수 있다. \n [각성] 자신의 리더 레벨이 5 이상이라면 이 카드를 뒤집는다.,각성면 \n [액티브: 메인] 상대의 패가 3장 이상이라면 자신의 패를 1장 골라 트래시할 수 있다. 그러면 상대는 패를 1장 골라 트래시한다.
BT03-052,마스트 : 로망틱 메이드,파도,리더,-,-,-,엘리시온,,승리의 여신: 니케,,기본면 \n [서약] 자신의 덱에 [파도] 카드만 넣을 수 있다. \n [각성] 자신의 리더 레벨이 6 이상이라면 이 카드를 뒤집는다.,각성면 \n [액티브: 메인] 자신의 스킬 존에서 3코스트인 스킬을 1장 골라 트래시한다. 그러면 필드에 있는 [엔트리] 를 가진 자신 유닛을 1장 고른다. 그 유닛이 가진 [엔트리] 효과를 하나 골라 발동한다.
BT03-069,레비아탄,번개,리더,-,-,-,필그림,,승리의 여신: 니케,,기본면 \n [서약] 자신의 덱에 [번개] 카드만 넣을 수 있다. \n [각성] 자신의 리더 레벨이 6 이상이라면 이 카드를 뒤집는다.,각성면 \n [액티브: 메인] 자신의 덱 맨 위에서 카드를 3장 트래시한다. 이 효과로 트래시된 아이템 카드가 1장 이상이라면 카드를 1장 드로우한다.
BT02-028,헬름 : 아쿠아마린,파도,리더,-,-,-,엘리시온,,승리의 여신: 니케,,기본면 \n [서약] 자신의 덱에 [파도] 카드만 넣을 수 있다. \n [각성] 자신의 리더 레벨이 5 이상이라면 이 카드를 뒤집는다.,각성면 \n [패시브] 필드에 있는 [가디언] 을 가진 모든 자신 유닛의 파워+1000.
BT02-055,크라운-네이키드 킹,번개,리더,-,-,-,필그림,,승리의 여신: 니케,,기본면 \n [서약] 자신의 덱에 [번개] 카드만 넣을 수 있다. \n [각성] 자신의 리더 레벨이 6 이상이라면 이 카드를 뒤집는다.,각성면 \n [패시브] 필드에 있는 아이템을 장착한 모든 자신 유닛의 파워+1500.
BT01-055,신데렐라,폭풍,리더,-,-,-,필그림,,승리의 여신: 니케,,기본면 \n [서약] 자신의 덱에 [폭풍] 카드만 넣을 수 있다. \n [각성] 자신의 리더 레벨이 5 이상이라면 이 카드를 뒤집는다.,각성면 \n [패시브] 자신과 상대의 턴마다 한 번씩; 필드에서 5코스트 이상인 자신 유닛이 트래시되면 카드를 1장 드로우한다.
ST05-001,프리바티 : 언카인드 메이드,번개,리더,-,-,-,엘리시온,,승리의 여신: 니케,,기본면 \n [서약] 자신의 덱에 [번개] 카드만 넣을 수 있다. \n [각성] 자신의 리더 레벨이 5 이상이라면 이 카드를 뒤집는다.,각성면 \n [패시브] 필드에 있는 [암드] 를 가진 모든 자신 유닛의 파워+1000.
ST04-001,도로시,파도,리더,-,-,-,필그림,,승리의 여신: 니케,,기본면 \n [서약] 자신의 덱에 [파도] 카드만 넣을 수 있다. \n [각성] 자신의 리더 레벨이 4 이상이라면 이 카드를 뒤집는다.,각성면 \n [패시브] 필드에 있는 모든 자신 유닛은 상대의 턴 동안 파워+1000.
BT01-001,레드 후드,화염,리더,-,-,-,필그림,,승리의 여신: 니케,,기본면 \n [서약] 자신의 덱에 [화염] 카드만 넣을 수 있다. \n [각성] 자신의 리더 레벨이 6 이상이라면 이 카드를 뒤집는다.,각성면 \n [패시브] 자신의 턴 동안 필드에 있는 [어태커] 를 가진 모든 자신 유닛의 파워+2000.
BT01-028,홍련,대지,리더,-,-,-,필그림,,승리의 여신: 니케,,기본면 \n [서약] 자신의 덱에 [대지] 카드만 넣을 수 있다. \n [각성] 자신의 리더 레벨이 5 이상이라면 이 카드를 뒤집는다.,각성면 \n [패시브] 필드에 있는 《베이스》를 가진 모든 자신 유닛의 파워+1000.
ST03-001,모더니아,폭풍,리더,-,-,-,필그림,,승리의 여신: 니케,,기본면 \n [서약] 자신의 덱에 [폭풍] 카드만 넣을 수 있다. \n [각성] 자신의 리더 레벨이 4 이상이라면 이 카드를 뒤집는다.,각성면 \n [패시브] 필드에 있는 [엑시트] 를 가진 모든 자신 유닛의 파워+1000.
ST02-001,길티,대지,리더,-,-,-,미실리스,,승리의 여신: 니케,,기본면 \n [서약] 자신의 덱에 [대지] 카드만 넣을 수 있다. \n [각성] 자신의 리더 레벨이 6 이상이라면 이 카드를 뒤집는다.,각성면 \n [패시브] 자신의 사이즈+1.
ST01-001,라피,화염,리더,-,-,-,엘리시온,,승리의 여신: 니케,,기본면 \n [서약] 자신의 덱에 [화염] 카드만 넣을 수 있다. \n [각성] 자신의 리더 레벨이 5 이상이라면 이 카드를 뒤집는다.,각성면 \n [패시브] 자신의 턴 동안 필드에 있는 모든 자신 유닛의 파워+1000.
